name_2,name_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,map_image,name_3_clean,jakarta_region,rainfall_soil_interaction,elevation_risk,vegetation_elevation_risk,extreme_weather,monsoon_season,urban_density_risk
jakarta utara,kelapagading,41.057,70.851,36.29,5.514,Built-up,0.228,0.062,38.154,2024,3,0,-6.161,106.9037,,,Jakarta Utara,2703.2490540000003,0.15351550506601166,0.11851396991096101,0,1,4.765432098765432
jakarta timur,makasar,19.138,66.078,38.58,25.658,Built-up,0.406,0.16,38.395,2021,9,0,-6.2663,106.8911,,,Jakarta Timur,2537.0648100000003,0.037512191462225224,0.02228224172856178,0,0,2.2846153846153845
jakarta pusat,tanahabang,41.922,76.764,37.23,12.45,Built-up,0.314,0.13,38.154,2024,3,0,-6.2054,106.8094,,,Jakarta Pusat,2928.8536560000002,0.07434944237918216,0.05100371747211896,0,1,2.9826086956521736
jakarta barat,kalideres,27.234,64.883,39.56,5.258,Built-up,0.243,0.071,37.999,2023,11,0,-6.1346,106.7039,,,Jakarta Barat,2465.489117,0.15979546180888463,0.12096516458932566,0,1,4.426900584795322
jakarta pusat,senen,63.716,138.079,36.16,10.007,Built-up,0.096,0.092,38.069,2023,2,0,-6.1842,106.8459,,,Jakarta Pusat,5256.529451,0.09085127646043427,0.08212955392023258,1,1,4.708333333333333
jakarta timur,jatinegara,19.645,35.373,41.47,18.159,Built-up,0.229,0.126,35.116,2020,9,0,-6.2273,106.8774,,,Jakarta Timur,1242.158268,0.05219479095986221,0.04024218383005376,0,0,3.411504424778761
jakarta barat,kebonjeruk,23.883,41.692,39.72,10.059,Built-up,0.265,0.118,37.559,2022,4,1,-6.1895,106.7691,,,Jakarta Barat,1565.9098279999998,0.09042408897730356,0.06646170539831811,0,0,3.371559633027523
jakarta pusat,sawahbesar,15.769,29.951,39.38,7.059,Built-up,0.217,0.09,37.438,2023,4,0,-6.1539,106.8332,,,Jakarta Pusat,1121.305538,0.12408487405385282,0.09715845638416676,0,0,4.121052631578947
jakarta selatan,pancoran,55.593,102.772,39.0,25.372,Built-up,0.202,0.19,40.331,2021,11,1,-6.2553,106.8436,,,Jakarta Selatan,4144.897532000001,0.03791900500530866,0.030259365994236315,0,1,2.7517241379310344
jakarta timur,cakung,29.924,68.733,39.72,7.969,Built-up,0.147,0.102,38.286,2022,12,0,-6.1885,106.9409,,,Jakarta Timur,2631.5116380000004,0.11149514996097669,0.09510536291671311,0,1,4.2227722772277225
jakarta barat,grogolpetamburan,21.749,59.587,39.29,6.01,Built-up,0.173,0.06,36.758,2022,9,0,-6.1634,106.7865,,,Jakarta Barat,2190.2989460000003,0.14265335235378032,0.11797432239657632,0,0,5.168749999999999
jakarta selatan,setiabudi,61.189,115.121,37.56,17.99,Built-up,0.22,0.133,38.225,2024,1,0,-6.2196,106.83,,,Jakarta Selatan,4400.500225,0.05265929436545551,0.0410742496050553,1,1,3.347639484978541
jakarta utara,pademangan,14.603,23.34,38.24,3.198,Built-up,0.229,0.104,37.159,2020,10,0,-6.1301,106.8381,,,Jakarta Utara,867.29106,0.23820867079561694,0.18365888518342066,0,0,3.7794117647058822
jakarta barat,palmerah,16.784,26.28,39.55,10.559,Built-up,0.197,0.122,38.514,2024,11,0,-6.1917,106.7956,,,Jakarta Barat,1012.1479200000001,0.08651267410675664,0.06946967730772557,0,1,3.617117117117117
jakarta selatan,setiabudi,79.232,129.25,36.65,17.99,Built-up,0.177,0.133,38.721,2021,2,1,-6.2196,106.83,,,Jakarta Selatan,5004.689249999999,0.05265929436545551,0.04333859926276988,1,1,3.5321888412017164
jakarta selatan,mampangprapatan,27.76,47.949,39.25,21.604,Built-up,0.338,0.146,39.072,2022,4,0,-6.2523,106.821,,,Jakarta Selatan,1873.463328,0.04423995752964077,0.029286851884622187,0,0,2.6910569105691056
jakarta selatan,pancoran,21.636,66.994,36.01,25.372,Built-up,0.333,0.19,38.794,2023,5,0,-6.2553,106.8436,,,Jakarta Selatan,2598.965236,0.03791900500530866,0.02529197633854088,0,0,2.3
jakarta selatan,jagakarsa,36.901,86.501,37.7,57.304,Built-up,0.304,0.27,40.535,2023,1,1,-6.334,106.8224,,,Jakarta Selatan,3506.318035,0.017151481888035124,0.011937431394072445,0,1,1.881081081081081
jakarta utara,penjaringan,10.753,21.552,34.06,3.083,Built-up,0.321,0.074,35.551,2021,7,0,-6.115,106.7639,,,Jakarta Utara,766.195152,0.24491795248591722,0.1662992897379378,0,0,3.9022988505747134
jakarta barat,kalideres,44.15,68.293,39.31,5.258,Built-up,0.188,0.071,37.62,2024,12,0,-6.1346,106.7039,,,Jakarta Barat,2569.18266,0.15979546180888463,0.12975391498881433,0,1,4.748538011695907
jakarta utara,koja,36.952,71.341,41.99,3.739,Built-up,0.155,0.063,38.384,2021,11,0,-6.1215,106.905,,,Jakarta Utara,2738.3529439999998,0.21101498206372654,0.17830765984384891,0,1,5.184049079754601
jakarta pusat,cempakaputih,3.329,9.944,40.41,8.401,Built-up,0.224,0.095,33.061,2023,10,0,-6.1809,106.8681,,,Jakarta Pusat,328.75858400000004,0.10637166258908627,0.08254441016913094,0,0,3.9794871794871796
jakarta pusat,gambir,7.977,35.153,38.05,7.605,Built-up,0.258,0.061,34.128,2020,8,0,-6.1715,106.8181,,,Jakarta Pusat,1199.701584,0.11621150493898895,0.0862289366647298,0,0,4.608695652173913
jakarta timur,kramatjati,20.078,68.415,39.1,30.295,Built-up,0.296,0.152,38.699,2021,9,0,-6.2763,106.8654,,,Jakarta Timur,2647.592085,0.031953986259785905,0.022495606326889277,0,0,2.7936507936507935
jakarta selatan,pasarminggu,47.81,80.233,39.04,35.89,Built-up,0.307,0.23,40.568,2022,1,0,-6.2908,106.8293,,,Jakarta Selatan,3254.892344,0.027107617240444564,0.018785578747628085,0,1,2.1
jakarta pusat,joharbaru,43.598,67.423,37.65,8.969,Built-up,0.165,0.076,38.454,2024,2,0,-6.1821,106.8546,,,Jakarta Pusat,2592.6840420000003,0.10031096398836394,0.08375965493028388,0,1,4.744318181818182
jakarta pusat,gambir,72.322,128.435,39.51,7.605,Built-up,0.127,0.061,37.605,2020,1,0,-6.1715,106.8181,,,Jakarta Pusat,4829.798175,0.11621150493898895,0.10145264381173735,1,1,5.422360248447204
jakarta pusat,senen,15.729,33.063,36.35,10.007,Built-up,0.175,0.092,35.747,2022,8,0,-6.1842,106.8459,,,Jakarta Pusat,1181.903061,0.09085127646043427,0.07495230307985827,0,0,4.296875
jakarta barat,kembangan,20.047,48.221,37.81,10.349,Built-up,0.367,0.126,37.324,2021,4,0,-6.1982,106.7418,,,Jakarta Barat,1799.8006039999998,0.08811349017534584,0.055775839280993916,0,0,2.8008849557522124
jakarta selatan,pesanggrahan,42.224,77.59,37.77,23.82,Built-up,0.336,0.178,39.475,2024,3,0,-6.2504,106.7587,,,Jakarta Selatan,3062.8652500000003,0.040290088638195005,0.02675261885576148,0,1,2.388489208633093
jakarta selatan,kebayoranbaru,25.264,56.862,40.14,22.272,Built-up,0.296,0.16,38.524,2020,11,0,-6.2447,106.8014,,,Jakarta Selatan,2190.551688,0.042970092815400485,0.030250945342041938,0,1,2.7076923076923074
jakarta selatan,tebet,1.345,1.721,38.99,17.948,Built-up,0.252,0.137,30.196,2023,9,0,-6.2289,106.8509,,,Jakarta Selatan,51.967316000000004,0.05277601857715854,0.03947646189571458,0,0,3.1561181434599153
jakarta timur,makasar,58.334,111.869,40.08,25.658,Built-up,0.304,0.16,40.603,2024,1,0,-6.2663,106.8911,,,Jakarta Timur,4542.217007,0.037512191462225224,0.026108485257708754,1,1,2.6769230769230767
jakarta selatan,pancoran,31.952,70.97,37.94,25.372,Built-up,0.248,0.19,40.51,2021,12,0,-6.2553,106.8436,,,Jakarta Selatan,2874.9946999999997,0.03791900500530866,0.028515091763992115,0,1,2.593103448275862
jakarta barat,grogolpetamburan,14.008,39.778,34.56,6.01,Built-up,0.218,0.06,34.955,2024,7,0,-6.1634,106.7865,,,Jakarta Barat,1390.4399899999999,0.14265335235378032,0.11155492154065622,0,0,4.8875
jakarta pusat,joharbaru,21.113,41.963,40.22,8.969,Built-up,0.182,0.076,37.559,2022,4,0,-6.1821,106.8546,,,Jakarta Pusat,1576.088317,0.10031096398836394,0.0820543685424817,0,0,4.647727272727273
jakarta utara,cilincing,18.898,40.58,36.93,3.19,Built-up,0.316,0.068,37.559,2022,4,0,-6.1243,106.9421,,,Jakarta Utara,1524.14422,0.23866348448687355,0.1632458233890215,0,0,4.071428571428571
jakarta selatan,pasarminggu,68.881,121.899,39.0,35.89,Built-up,0.311,0.23,41.387,2021,11,1,-6.2908,106.8293,,,Jakarta Selatan,5045.033913,0.027107617240444564,0.018677148278666306,1,1,2.087878787878788
jakarta timur,kramatjati,34.595,51.904,40.24,30.295,Built-up,0.319,0.152,41.328,2020,3,0,-6.2763,106.8654,,,Jakarta Timur,2145.0885120000003,0.031953986259785905,0.021760664642914204,0,1,2.7023809523809526
jakarta barat,grogolpetamburan,19.081,50.227,38.64,6.01,Built-up,0.201,0.06,37.312,2021,4,0,-6.1634,106.7865,,,Jakarta Barat,1874.0698239999997,0.14265335235378032,0.11398002853067046,0,0,4.9937499999999995
jakarta selatan,kebayoranbaru,22.598,49.379,37.84,22.272,Built-up,0.37,0.16,38.293,2021,4,0,-6.2447,106.8014,,,Jakarta Selatan,1890.8700469999999,0.042970092815400485,0.027071158473702304,0,0,2.423076923076923
jakarta barat,kembangan,8.551,15.969,35.66,10.349,Built-up,0.339,0.126,34.175,2024,8,0,-6.1982,106.7418,,,Jakarta Barat,545.7405749999999,0.08811349017534584,0.0582430170059036,0,0,2.924778761061947
jakarta timur,kramatjati,1.519,1.953,39.92,30.295,Built-up,0.271,0.152,30.248,2023,9,0,-6.2763,106.8654,,,Jakarta Timur,59.074344,0.031953986259785905,0.023294455983383925,0,0,2.892857142857143
jakarta pusat,gambir,2.701,9.11,39.5,7.605,Built-up,0.237,0.061,33.061,2023,10,0,-6.1715,106.8181,,,Jakarta Pusat,301.18571,0.11621150493898895,0.08866937826844858,0,0,4.739130434782608
