kota_administrasi,year_month,event_count,avg_severity,max_water_cm,total_evacuees,total_fatalities,kelurahan_count
Jakarta Barat,2013-01,261,0.2461,200.0,3844.0,159.0,45
Jakarta Pusat,2013-01,21,0.1141,60.0,54.0,6.0,8
Jakarta Selatan,2013-01,116,0.2851,300.0,970.0,22.0,22
Jakarta Timur,2013-01,105,0.3588,400.0,2937.0,81.0,24
Jakarta Utara,2013-01,133,0.2446,250.0,1327.0,55.0,24
Jakarta Barat,2013-02,13,0.0803,100.0,8.0,0.0,8
Jakarta Selatan,2013-02,48,0.1389,175.0,62.0,0.0,18
Jakarta Timur,2013-02,21,0.3127,350.0,21.0,0.0,5
Jakarta Utara,2013-02,2,0.0266,10.0,0.0,0.0,2
Jakarta Selatan,2013-03,10,0.17,200.0,12.0,0.0,5
Jakarta Timur,2013-03,6,0.2453,250.0,48.0,0.0,3
Jakarta Barat,2013-04,5,0.1062,60.0,0.0,0.0,2
Jakarta Selatan,2013-04,9,0.0928,150.0,15.0,0.0,7
Jakarta Timur,2013-04,10,0.0847,100.0,0.0,0.0,6
Jakarta Barat,2013-05,2,0.0572,45.0,0.0,0.0,2
Jakarta Selatan,2013-05,20,0.1225,160.0,84.0,0.0,9
Jakarta Timur,2013-05,13,0.1765,180.0,0.0,0.0,4
Jakarta Selatan,2013-06,1,0.1491,150.0,0.0,0.0,1
Jakarta Utara,2013-06,8,0.1442,60.0,0.0,0.0,2
Jakarta Barat,2013-07,1,0.0529,40.0,0.0,0.0,1
Jakarta Selatan,2013-07,8,0.1232,100.0,20.0,0.0,3
Jakarta Timur,2013-07,4,0.2364,180.0,12.0,0.0,1
Jakarta Utara,2013-07,6,0.075,60.0,0.0,0.0,4
Jakarta Barat,2013-08,3,0.0706,50.0,0.0,0.0,2
Jakarta Selatan,2013-08,11,0.1476,250.0,20.0,0.0,6
Jakarta Timur,2013-08,5,0.2611,300.0,6.0,0.0,3
Jakarta Selatan,2013-10,2,0.0485,40.0,0.0,0.0,2
Jakarta Timur,2013-10,1,0.0441,30.0,0.0,0.0,1
Jakarta Utara,2013-10,1,0.0616,50.0,0.0,0.0,1
Jakarta Barat,2013-11,3,0.0851,80.0,2.0,2.0,3
Jakarta Selatan,2013-11,12,0.1357,120.0,30.0,0.0,6
Jakarta Timur,2013-11,8,0.0802,70.0,0.0,0.0,5
Jakarta Barat,2014-01,171,0.2575,150.0,1098.0,0.0,25
Jakarta Pusat,2014-01,75,0.287,250.0,304.0,0.0,10
Jakarta Selatan,2014-01,193,0.3087,300.0,899.0,0.0,30
Jakarta Timur,2014-01,305,0.3224,400.0,1521.0,0.0,34
Jakarta Utara,2014-01,171,0.2089,100.0,1523.0,0.0,25
Jakarta Barat,2014-02,77,0.2251,110.0,239.0,0.0,12
Jakarta Pusat,2014-02,9,0.1505,60.0,42.0,0.0,2
Jakarta Selatan,2014-02,92,0.2906,200.0,282.0,0.0,13
Jakarta Timur,2014-02,71,0.3858,250.0,632.0,0.0,11
Jakarta Utara,2014-02,11,0.0856,80.0,0.0,0.0,6
