event_date,kota_administrasi,kecamatan,kelurahan,tahun,bulan,flood_event,duration_days,water_min_cm,water_max_cm,water_mean_cm,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,jumlah_meninggal,severity
2013-01-09,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-10,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-11,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-16,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-17,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-18,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-19,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-20,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-21,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-22,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-23,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-24,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-25,Jakarta Timur,Jatinegara,Bidara Cina,2013,1,1,13.0,20.0,250.0,135.0,95.0,0.0,0.0,1.0,0.7034
2013-01-09,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
2013-01-10,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
2013-01-11,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
2013-01-16,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
2013-01-17,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
2013-01-18,Jakarta Timur,Jatinegara,Kampung Melayu,2013,1,1,13.0,30.0,400.0,215.0,69.0,0.0,0.0,5.0,0.8296
