id,kode_stasiun,nama,lokasi,sort_number,siaga1,siaga2,siaga3,siaga4,latitude,longitude,file_export,record_status,created_date,created_by,last_updated_date,last_updated_by,tanggal,tinggi_air,tinggi_air_sebelumnya,status,tma_unaltered,coor_x,coor_y
155,28,Bendung. Cibalok - Gadog 1,Ciliwung,1,2100,1600,900,1,-6.653375,106.869567,Bogor,1,2023-11-23T00:00:00+07:00,1,2026-04-13T07:33:47.367+07:00,27,2026-05-17T00:15:00+07:00,90,97,Status : Normal,99,,
116,05,Bendung. Katulampa 2,Ciliwung,2,2000,1500,800,0,-6.633167,106.836806,Bogor,1,,1,2026-04-24T08:44:44.467+07:00,27,2026-05-17T00:10:00+07:00,250,254,Status : Normal,256,315,530
118,04,P.S. Depok 2,Ciliwung,3,3500,2700,2000,0,-6.400514000,106.832143000,Depok,1,,1,2026-04-02T17:11:55.403+07:00,27,2026-05-17T00:10:00+07:00,1260,1110,Status : Normal,1265,300,520
176,46,Waduk Kampung Rambutan 1,Cipinang,4,3000,2500,2000,1,-6.308509,106.880899,Jakarta Timur,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:15:46.773+07:00,27,2026-05-17T00:15:00+07:00,510,513,Status : Normal,511,,
122,06,P.A. Manggarai 2,Ciliwung,5,9500,8500,7500,0,-6.207825,106.848458,Jakarta Selatan,1,,1,2025-12-16T09:44:37.757+07:00,27,2026-05-17T00:10:00+07:00,5730,5770,Status : Normal,5734,330,240
114,10,P.S. Krukut Hulu 2,Krukut,6,3000,2500,1500,1,-6.343900,106.798874,Jakarta Selatan,1,,1,2026-01-12T16:09:54.87+07:00,27,2026-05-17T00:10:00+07:00,720,730,Status : Normal,723,250,240
165,39,Pompa Cideng 1,Cideng Siantar,7,3000,2500,1500,1,-6.173587,106.806736,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:04:55.643+07:00,27,2026-05-17T00:15:00+07:00,80,72,Status : Normal,80,,
163,37,P.A. Karet 1,Banjir Kanal Barat,8,6000,5500,4500,1,-6.198023,106.810169,Jakarta Selatan,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:04:35.493+07:00,27,2026-05-17T00:15:00+07:00,5200,5223,Status : Siaga 3,5202,,
140,15,P.A. Marina Ancol (Laut),Laut,9,2500,2000,1700,1,-6.125585,106.830154,Jakarta Utara,1,2013-11-24T21:19:59.05+07:00,,2026-04-08T12:39:19.117+07:00,27,2026-05-17T00:10:00+07:00,2500,2490,Status : Siaga 1,2500,,
166,40,P.A. Marina Ancol (Kali),Kali,10,2500,2000,1700,1,-6.12648,106.830006,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-08T12:39:02.197+07:00,27,2026-05-17T00:15:00+07:00,1430,1439,Status : Normal,1439,,
162,36,Pompa Pasar Ikan 1,Laut,11,2500,2000,1700,1,-6.126264,106.809638,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-28T01:29:29.313+07:00,27,2026-05-16T23:40:00+07:00,2380,2330,Status : Siaga 2,2383,,
167,41,Rumah Pompa Pluit 1,Waduk Pluit,12,450,0,-500,1,-6.109552,106.797342,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:05:11.343+07:00,27,2026-05-16T23:45:00+07:00,-1820,-1808,Status : Normal,-1825,,
160,34,P.S. Pesanggrahan 1,Pesanggrahan,13,3500,2500,1500,1,-6.397147,106.771833,Depok,1,2023-11-23T00:00:00+07:00,1,2026-04-27T00:59:42.817+07:00,27,2026-05-17T00:10:00+07:00,1560,1587,Status : Siaga 3,1560,,
158,32,P.S. Angke Hulu 1,Angke,14,3000,2500,1500,1,-6.218026,106.694077,Ciledug,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:04:08.163+07:00,27,2026-05-17T00:15:00+07:00,820,827,Status : Normal,820,,
150,26,P.S. Sunter Hulu,Sunter,15,2500,2000,1400,1,-6.317920000,106.920901000,Jakarta Timur,1,2013-02-28T11:48:19.91+07:00,1,2025-06-23T08:28:54.087+07:00,27,2026-05-17T00:10:00+07:00,770,779,Status : Normal,777,0,0
126,12,P.A. Pulo Gadung 2,Sunter,16,7700,7000,5500,1,-6.191,106.904194,Jakarta Timur,1,,1,2025-12-16T09:46:40.197+07:00,27,2026-05-17T00:10:00+07:00,3050,2956,Status : Normal,3050,390,260
164,38,Pompa Yos Sudarso 1,Sunter Timur,17,2500,2000,1400,1,-6.154855,106.886326,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:04:48.577+07:00,27,2026-05-17T00:15:00+07:00,1750,1754,Status : Siaga 3,1755,,
169,42,P.A. Kaliduri 1,Kali Duri,19,3200,2700,2200,1,-6.142445,106.790185,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:05:27.067+07:00,27,2026-05-17T00:15:00+07:00,1860,1873,Status : Normal,1866,,
172,45,P.A. Istiqlal 1,Ciliwung,20,3500,3000,2500,1,-6.168284,106.831393,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:06:11.91+07:00,27,2026-05-17T00:15:00+07:00,800,803,Status : Normal,801,,
171,44,P.A. Jembatan Merah 1,Ciliwung,21,2500,2000,1500,1,-6.148949,106.834232,Jakarta Pusat,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:06:03.683+07:00,27,2026-05-17T00:10:00+07:00,710,708,Status : Normal,710,,
170,43,P.A. Ancol Flushing 1,Ciliwung,22,2200,1900,1800,1600,-6.130054,106.831272,Jakarta Utara,1,2023-11-23T00:00:00+07:00,1,2026-04-09T11:05:35.98+07:00,27,2026-05-17T00:15:00+07:00,1470,1471,Status : Normal,1470,,
107,25,P.A. Cengkareng Drain,Cengkareng,24,3100,2700,1900,1,-6.165576979919189,106.74858453075363,Jakarta Barat,1,,1,2025-12-19T14:01:37.89+07:00,27,2026-05-17T00:15:00+07:00,2730,2737,Status : Siaga 2,2732,0,0
179,48,Pompa Kamal Muara (Bubble),Kali Kamal,25,3000,2500,2000,1,-6.093938,106.721842,Jakarta Utara,1,2023-12-06T00:00:00+07:00,1,2025-04-23T11:38:36.583+07:00,51,2026-05-17T00:16:15+07:00,1180,1205,Status : Normal,1189,,
